RUN	tutorial.FrontendScenario	frontendscenario	1553257083415	 	3.0.3
USER	Check frontend	1	START	1553257084045	1553257084045
USER	Check frontend	2	START	1553257084406	1553257084406
REQUEST	1		Go to main page	1553257084065	1553257084550	OK	 
USER	Check frontend	3	START	1553257084747	1553257084747
REQUEST	2		Go to main page	1553257084406	1553257084899	OK	 
USER	Check frontend	4	START	1553257085076	1553257085076
REQUEST	3		Go to main page	1553257084748	1553257085140	OK	 
REQUEST	1		Go to electronic	1553257084571	1553257085395	OK	 
REQUEST	4		Go to main page	1553257085078	1553257085467	OK	 
USER	Check frontend	5	START	1553257085576	1553257085576
REQUEST	3		Go to electronic	1553257085143	1553257085788	OK	 
REQUEST	2		Go to electronic	1553257084900	1553257085821	OK	 
REQUEST	1		Go to TV and Video	1553257085397	1553257085852	OK	 
REQUEST	5		Go to main page	1553257085578	1553257085988	OK	 
USER	Check frontend	6	START	1553257086077	1553257086077
REQUEST	4		Go to electronic	1553257085470	1553257086201	OK	 
REQUEST	3		Go to TV and Video	1553257085790	1553257086280	OK	 
REQUEST	2		Go to TV and Video	1553257085822	1553257086290	OK	 
REQUEST	1		Go to TV and Video	1553257085853	1553257086340	OK	 
USER	Check frontend	7	START	1553257086386	1553257086386
REQUEST	6		Go to main page	1553257086079	1553257086501	OK	 
REQUEST	4		Go to TV and Video	1553257086205	1553257086641	OK	 
REQUEST	3		Go to TV and Video	1553257086283	1553257086694	OK	 
REQUEST	2		Go to TV and Video	1553257086293	1553257086701	OK	 
USER	Check frontend	8	START	1553257086716	1553257086716
REQUEST	5		Go to electronic	1553257085991	1553257086731	OK	 
REQUEST	1		Go to TV and Video	1553257086342	1553257086788	OK	 
REQUEST	7		Go to main page	1553257086387	1553257086966	OK	 
USER	Check frontend	9	START	1553257087046	1553257087046
REQUEST	6		Go to electronic	1553257086503	1553257087105	OK	 
REQUEST	8		Go to main page	1553257086717	1553257087114	OK	 
REQUEST	4		Go to TV and Video	1553257086644	1553257087144	OK	 
REQUEST	1		Go to TV and Video	1553257086791	1553257087193	OK	 
USER	Check frontend	1	END	1553257084045	1553257087202
REQUEST	3		Go to TV and Video	1553257086695	1553257087256	OK	 
REQUEST	2		Go to TV and Video	1553257086702	1553257087273	OK	 
REQUEST	5		Go to TV and Video	1553257086732	1553257087292	OK	 
REQUEST	9		Go to main page	1553257087047	1553257087469	OK	 
USER	Check frontend	10	START	1553257087546	1553257087546
REQUEST	6		Go to TV and Video	1553257087107	1553257087611	OK	 
REQUEST	4		Go to TV and Video	1553257087146	1553257087712	OK	 
REQUEST	7		Go to electronic	1553257086967	1553257087728	OK	 
REQUEST	8		Go to electronic	1553257087117	1553257087746	OK	 
REQUEST	5		Go to TV and Video	1553257087294	1553257087779	OK	 
REQUEST	3		Go to TV and Video	1553257087257	1553257087803	OK	 
USER	Check frontend	3	END	1553257084747	1553257087804
REQUEST	2		Go to TV and Video	1553257087275	1553257087859	OK	 
USER	Check frontend	2	END	1553257084406	1553257087859
REQUEST	6		Go to TV and Video	1553257087612	1553257087945	OK	 
REQUEST	10		Go to main page	1553257087547	1553257087982	OK	 
REQUEST	9		Go to electronic	1553257087471	1553257088090	OK	 
REQUEST	4		Go to TV and Video	1553257087714	1553257088090	OK	 
USER	Check frontend	4	END	1553257085076	1553257088091
REQUEST	8		Go to TV and Video	1553257087747	1553257088117	OK	 
REQUEST	5		Go to TV and Video	1553257087780	1553257088172	OK	 
REQUEST	7		Go to TV and Video	1553257087729	1553257088201	OK	 
REQUEST	6		Go to TV and Video	1553257087948	1553257088337	OK	 
REQUEST	9		Go to TV and Video	1553257088091	1553257088526	OK	 
REQUEST	5		Go to TV and Video	1553257088174	1553257088587	OK	 
USER	Check frontend	5	END	1553257085576	1553257088588
REQUEST	7		Go to TV and Video	1553257088203	1553257088593	OK	 
REQUEST	8		Go to TV and Video	1553257088118	1553257088606	OK	 
REQUEST	6		Go to TV and Video	1553257088339	1553257088842	OK	 
USER	Check frontend	6	END	1553257086077	1553257088844
REQUEST	10		Go to electronic	1553257087985	1553257088861	OK	 
REQUEST	8		Go to TV and Video	1553257088607	1553257088937	OK	 
REQUEST	9		Go to TV and Video	1553257088529	1553257088976	OK	 
REQUEST	7		Go to TV and Video	1553257088594	1553257088982	OK	 
REQUEST	10		Go to TV and Video	1553257088863	1553257089283	OK	 
REQUEST	7		Go to TV and Video	1553257088984	1553257089338	OK	 
USER	Check frontend	7	END	1553257086386	1553257089340
REQUEST	9		Go to TV and Video	1553257088977	1553257089490	OK	 
REQUEST	8		Go to TV and Video	1553257088939	1553257089501	OK	 
USER	Check frontend	8	END	1553257086716	1553257089503
REQUEST	10		Go to TV and Video	1553257089285	1553257089776	OK	 
REQUEST	9		Go to TV and Video	1553257089492	1553257089920	OK	 
USER	Check frontend	9	END	1553257087046	1553257089922
REQUEST	10		Go to TV and Video	1553257089779	1553257090087	OK	 
REQUEST	10		Go to TV and Video	1553257090091	1553257090486	OK	 
USER	Check frontend	10	END	1553257087546	1553257090487
