RUN	tutorial.basic.VeryBasicScenario	verybasicscenario	1553257264361	 	3.0.3
USER	Very basic scenario	1	START	1553257264982	1553257264982
USER	Very basic scenario	2	START	1553257265009	1553257265009
USER	Very basic scenario	3	START	1553257265010	1553257265010
USER	Very basic scenario	4	START	1553257265011	1553257265011
USER	Very basic scenario	5	START	1553257265012	1553257265012
USER	Very basic scenario	6	START	1553257265013	1553257265013
USER	Very basic scenario	7	START	1553257265015	1553257265015
USER	Very basic scenario	8	START	1553257265015	1553257265015
USER	Very basic scenario	9	START	1553257265016	1553257265016
USER	Very basic scenario	10	START	1553257265017	1553257265017
REQUEST	3		Healthcheck call 	1553257265011	1553257265328	OK	 
REQUEST	6		Healthcheck call 	1553257265014	1553257265318	OK	 
REQUEST	7		Healthcheck call 	1553257265015	1553257265323	OK	 
REQUEST	9		Healthcheck call 	1553257265016	1553257265319	OK	 
REQUEST	5		Healthcheck call 	1553257265012	1553257265328	OK	 
REQUEST	2		Healthcheck call 	1553257265010	1553257265328	OK	 
REQUEST	8		Healthcheck call 	1553257265016	1553257265327	OK	 
REQUEST	10		Healthcheck call 	1553257265017	1553257265323	OK	 
REQUEST	1		Healthcheck call 	1553257265007	1553257265326	OK	 
USER	Very basic scenario	1	END	1553257264982	1553257265338
USER	Very basic scenario	5	END	1553257265012	1553257265338
USER	Very basic scenario	6	END	1553257265013	1553257265338
REQUEST	4		Healthcheck call 	1553257265011	1553257265323	OK	 
USER	Very basic scenario	3	END	1553257265010	1553257265340
USER	Very basic scenario	9	END	1553257265016	1553257265340
USER	Very basic scenario	4	END	1553257265011	1553257265340
USER	Very basic scenario	10	END	1553257265017	1553257265341
USER	Very basic scenario	8	END	1553257265015	1553257265341
USER	Very basic scenario	7	END	1553257265015	1553257265341
USER	Very basic scenario	2	END	1553257265009	1553257265341
